league nation,league name,team name,player first name,player surname,birth_date [dd/mm/yyyy],nationality [iso code],"shirt number [1, 99]","foot left [1, 20]","foot right [1, 20]","main position [G, D, P...]","alt positions [""D,C,P""]","injury prone [1, 20]",eye color [hex],hair color [hex],skintone color [hex],reflexes,positioning,save_feet,save_hands,diving,aggression,anticipation,decisions,concentration,vision,workrate,marking,pace,acceleration,stamina,strength,agility,jump,crossing,passing,long_passing,tackling,heading,interception,shooting,long_shooting,free_kick,penalty,finishing,dribbling,blocking
Portugal:PT,Liga Futsal 1,Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Vila Nova de Gaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Amadora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Braga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Funchal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Setúbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Almada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 1,Agualva-Cacém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Queluz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Rio Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Aveiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Viseu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Odivelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Leiria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Faro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 2,Matosinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 3,Loures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 3,Portimão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 3,Póvoa de Varzim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 3,Amora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 3,Maia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal:PT,Liga Futsal 3,Évora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
