"context","target"
"CREATE_MANAGER","Manager erstellen"
"MANAGER","Manager"
"NAME","Name"
"SURNAME","Nachname"
"YOUR_NAME","Dein Name"
"YOUR_SURNAME","Dein Nachname"
"PLAYER_NAMES","Spieler Namen"
"BIRTH_DATE","Geburtstag"
"START_YEAR","Startjahr"
"FAV_TEAM","Liebliengs-Team"
"NATIONALITY","Nationalität"
"BACK","Zurück"
"CONTINUE","Weiter"
"CANCEL","Abbrechen"
"FIELD","Feld"
"STATS","Stats"
"POSSESSION","Ballbesitz"
"SHOTS","Schüsse"
"SHOTS_ON_TARGET","Torschüsse"
"FOULS","Fouls"
"FREE_KICKS","Freistöße"
"PAUSE","Pause"
"PENALTIES","Strafstoße (6m)"
"PENALTIES_10M","Strafstoße (10m)"
"TACKLES","Kontraste"
"TACKLES_SUCCESS","Erfolgreiche Konstraste"
"PASSES","Pässe"
"PASSES_SUCCESS","Erfolgreiche Pässe"
"KICK_INS","Einwürfe"
"CORNERS","Eckstöße"
"YELLOW_CARDS","Gelbe Karten"
"RED_CARDS","Rote Karten"
"SIMULATE","Simulieren"
"EVENTS","Events"
"TACTICS","Taktiken"
"FORMATION","Aufstellung"
"COMMENTARY","Kommentare"
"CHANGE_STRATEGY","Wechsel Strategie"
"AUTO","Automatisch"
"MANUAL","Manuell"
"START","Start"
"CALENDAR","Kalender"
"TABLE","Tabelle"
"EMAIL","E-Mail"
"SEARCH_PLAYER","Spieler suchen"
"MENU","Menü"
"SETTINGS","Einstellungen"
"START_MATCH","Spielbeginn"
"NEXT_DAY","Nächster Tag"
"NEXT_MATCH","Nächstes Spiel"
"WELCOME","Wilkommen"
"MALE","Männlich"
"FEMALE","Weiblich"
"MIXED","Gemischt"
"WORLD","Welt"
"CONTINENTS","Kontinente"
"ITALY","Italien"
"SPAIN","Spanien"
"ROMANIA","Rumänien"
"NEW_GAME","Neues Spiel"
"LOAD_GAME","Spiel laden"
"DARK","Dunkel"
"LIGHT","Hell"
"SOLARIZED_LIGHT","Solarized hell"
"SOLARIZED_DARK","Solarized dunkel"
"HACKER","Hacker"
"RED","Rot"
"CUSTOM","Benutzerdefiniert"
"DEFAULT_SETTINGS","Standardeinstellung"
"THEME","Thema"
"RESOLUTION","Auflösung"
"VERSION","Version"
"DELETE","Löschen"
"TEAM","Mannschaft"
"TABLE_PLACEMENT","Tabellenstand"
"LAST_SAVE","Letzer Speicherstand"
"CREATED","Erstellt"
"GAME_DATE","Datum im Spiel"
"STAR","Stern"
"SUBJECT","Betreff"
"FROM","Von"
"TO","An"
"DATE","Datum"
"UNREAD","Ungelesen"
"STARRED","Favoriten"
"SEARCH","Suche"
"INFO","Info"
"PLAYERS","Spieler"
"PLAYER","Spieler"
"SEED","Seed"
"START_DATE","Startdatum"
"COPY","Kopieren"
"MONDAY","Montag"
"TUESDAY","Dienstag"
"WEDNESDAY","Mittwoch"
"THURSDAY","Donnerstag"
"FRIDAY","Freitag"
"SATURDAY","Samstag"
"SUNDAY","Sonntag"
"MON","Mo"
"TUE","Di"
"WED","Mi"
"THU","Do"
"FRI","Fr"
"SAT","Sa"
"SUN","So"
"JANUARY","Januar"
"FEBRUARY","Februar"
"MARCH","März"
"APRIL","April"
"MAY","Mai"
"JUNE","Juni"
"JULY","Juli"
"AUGUST","August"
"SEPTEMBER","September"
"OCTOBER","Oktober"
"NOVEMBER","November"
"DECEMBER","Dezember"
"JAN","Jan"
"FEB","Feb"
"MAR","Mär"
"APR","Apr"
"JUN","Jun"
"JUL","Jul"
"AUG","Aug"
"SEP","Sep"
"OCT","Okt"
"NOV","Nov"
"DEC","Dez"
