"source","target"
"CREATE_MANAGER","CREATE_MANAGER"
"MANAGER","MANAGER"
"NAME","NAME"
"SURNAME","SURNAME"
"YOUR_NAME","YOUR_NAME"
"YOUR_SURNAME","YOUR_SURNAME"
"PLAYER_NAMES","PLAYER_NAMES"
"BIRTH_DATE","BIRTH_DATE"
"START_YEAR","START_YEAR"
"FAV_TEAM","FAV_TEAM"
"NATIONALITY","NATIONALITY"
"BACK","BACK"
"CONTINUE","CONTINUE"
"CANCEL","CANCEL"
"FIELD","FIELD"
"STATS","STATS"
"POSSESSION","POSSESSION"
"SHOTS","SHOTS"
"SHOTS_ON_TARGET","SHOTS_ON_TARGET"
"FOULS","FOULS"
"FREE_KICKS","FREE_KICKS"
"PAUSE","PAUSE"
"PENALTIES","PENALTIES"
"PENALTIES_10M","PENALTIES_10M"
"TACKLES","TACKLES"
"TACKLES_SUCCESS","TACKLES_SUCCESS"
"PASSES","PASSES"
"PASSES_SUCCESS","PASSES_SUCCESS"
"KICK_INS","KICK_INS"
"CORNERS","CORNERS"
"YELLOW_CARDS","YELLOW_CARDS"
"RED_CARDS","RED_CARDS"
"SIMULATE","SIMULATE"
"EVENTS","EVENTS"
"TACTICS","TACTICS"
"FORMATION","FORMATION"
"COMMENTARY","COMMENTARY"
"CHANGE_STRATEGY","CHANGE_STRATEGY"
"AUTO","AUTO"
"MANUAL","MANUAL"
"START","START"
"CALENDAR","CALENDAR"
"TABLE","TABLE"
"EMAIL","EMAIL"
"SEARCH_PLAYER","SEARCH_PLAYER"
"MENU","MENU"
"SETTINGS","SETTINGS"
"START_MATCH","START_MATCH"
"NEXT_DAY","NEXT_DAY"
"NEXT_MATCH","NEXT_MATCH"
"WELCOME","WELCOME"
"MALE","MALE"
"FEMALE","FEMALE"
"MIXED","MIXED"
"WORLD","WORLD"
"CONTINENTS","CONTINENTS"
"ITALY","ITALY"
"SPAIN","SPAIN"
"ROMANIA","ROMANIA"
"NEW_GAME","NEW_GAME"
"LOAD_GAME","LOAD_GAME"
"DARK","DARK"
"LIGHT","LIGHT"
"SOLARIZED_LIGHT","SOLARIZED_LIGHT"
"SOLARIZED_DARK","SOLARIZED_DARK"
"HACKER","HACKER"
"RED","RED"
"CUSTOM","CUSTOM"
"DEFAULT_SETTINGS","DEFAULT_SETTINGS"
"THEME","THEME"
"RESOLUTION","RESOLUTION"
"VERSION","VERSION"
"DELETE","DELETE"
"TEAM","TEAM"
"TABLE_PLACEMENT","TABLE_PLACEMENT"
"LAST_SAVE","LAST_SAVE"
"CREATED","CREATED"
"GAME_DATE","GAME_DATE"
"STAR","STAR"
"SUBJECT","SUBJECT"
"FROM","FROM"
"TO","TO"
"DATE","DATE"
"UNREAD","UNREAD"
"STARRED","STARRED"
"SEARCH","SEARCH"
"INFO","INFO"
"PLAYERS","PLAYERS"
"PLAYER","PLAYER"
"SEED","SEED"
"START_DATE","START_DATE"
"COPY","COPY"
"MONDAY","MONDAY"
"TUESDAY","TUESDAY"
"WEDNESDAY","WEDNESDAY"
"THURSDAY","THURSDAY"
"FRIDAY","FRIDAY"
"SATURDAY","SATURDAY"
"SUNDAY","SUNDAY"
"MON","MON"
"TUE","TUE"
"WED","WED"
"THU","THU"
"FRI","FRI"
"SAT","SAT"
"SUN","SUN"
"JANUARY","JANUARY"
"FEBRUARY","FEBRUARY"
"MARCH","MARCH"
"APRIL","APRIL"
"MAY","MAY"
"JUNE","JUNE"
"JULY","JULY"
"AUGUST","AUGUST"
"SEPTEMBER","SEPTEMBER"
"OCTOBER","OCTOBER"
"NOVEMBER","NOVEMBER"
"DECEMBER","DECEMBER"
"JAN","JAN"
"FEB","FEB"
"MAR","MAR"
"APR","APR"
"JUN","JUN"
"JUL","JUL"
"AUG","AUG"
"SEP","SEP"
"OCT","OCT"
"NOV","NOV"
"DEC","DEC"
"GENERATION_SEED","GENERATION_SEED"
"GENERATION_SEED_DESCRIPTION","GENERATION_SEED_DESCRIPTION"
"PLAYED","PLAYED"
"WIN","WIN"
"DRAW","DRAW"
"LOST","LOST"
"GOALS","GOALS"
"GOALS_CONCEDED","GOALS_CONCEDED"
"POINTS","POINTS"
"TACTIC_OFFENSE","TACTIC_OFFENSE"
"TACTIC_DEFENSE","TACTIC_DEFENSE"
"INTENSITY","INTENSITY"
"MARKING","MARKING"
"PRESSING","PRESSING"
"CUT_INSIDE","CUT_INSIDE"
"ROTATION","ROTATION"
"ZONE","ZONE"
"FULL_COURT","FULL_COURT"
"HALF_COURT","HALF_COURT"
"NO_PRESS","NO_PRESS"
"SUBS","SUBS"
"REST","REST"
"ALL_POS","ALL_POS"
"G","G"
"DL","DL"
"DR","DR"
"DC","DC"
"C","C"
"WL","WL"
"WR","WR"
"PL","PL"
"PR","PR"
"PC","PC"
"ALL_LEAGUES","ALL_LEAGUES"
"ALL_TEAMS","ALL_TEAMS"
"LOADING_GAME","LOADING_GAME"
"SAVING_GAME","SAVING_GAME"
"EXIT","EXIT"
"RANDOM","RANDOM"
"DEFAULT","DEFAULT"
"INITIALIZE_GAME","INITIALIZE_GAME"
