"context","target"
"CREATE_MANAGER","Crea allenatore"
"MANAGER","Allenatore"
"NAME","Nome"
"SURNAME","Cognome"
"YOUR_NAME","Il tuo nome"
"YOUR_SURNAME","Il tuo cognome"
"PLAYER_NAMES","Nomi giocatori"
"BIRTH_DATE","Compleanno"
"START_YEAR","Anno d'inizio"
"FAV_TEAM","Squadra favorita"
"NATIONALITY","Naziolanità"
"BACK","Indietro"
"CONTINUE","Avanti"
"CANCEL","Annulla"
"FIELD","Campo"
"STATS","Stats"
"POSSESSION","Possesso"
"SHOTS","Tiri"
"SHOTS_ON_TARGET","Tiri in porta"
"FOULS","Falli"
"FREE_KICKS","Punizioni"
"PAUSE","Pausa"
"PENALTIES","Rigore"
"PENALTIES_10M","Tiro libero"
"TACKLES","Contrasti"
"TACKLES_SUCCESS","Contrasti riusciti"
"PASSES","Passaggi"
"PASSES_SUCCESS","Passaggi riusciti"
"KICK_INS","Rimesse"
"CORNERS","Calci d’angolo"
"YELLOW_CARDS","Cartellini gialli"
"RED_CARDS","Cartellini rossi"
"SIMULATE","Simula"
"EVENTS","Eventi"
"TACTICS","Tattiche"
"FORMATION","Formazione"
"COMMENTARY","Commenti"
"CHANGE_STRATEGY","Strategia cambi"
"AUTO","Automatico"
"MANUAL","Manuale"
"START","Inizia"
"CALENDAR","Calendario"
"TABLE","Classifica"
"EMAIL","E-Mail"
"SEARCH_PLAYER","Cerca giocatore"
"MENU","Menu"
"SETTINGS","Impostazioni"
"START_MATCH","Inizia partita"
"NEXT_DAY","Prossimo giorno"
"NEXT_MATCH","Prossima partita"
"WELCOME","Benvenuto"
"MALE","Maschile"
"FEMALE","Femminile"
"MIXED","Misto"
"WORLD","Mondo"
"CONTINENTS","Continenti"
"ITALY","Italia"
"SPAIN","Spagna"
"ROMANIA","Romania"
"NEW_GAME","Nuova partita"
"LOAD_GAME","Carica partita"
"DARK","Scuro"
"LIGHT","Chiaro"
"SOLARIZED_LIGHT","Solarized chiaro"
"SOLARIZED_DARK","Solarized scuro"
"HACKER","Hacker"
"RED","Rosso"
"CUSTOM","Personalizzato"
"DEFAULT_SETTINGS","Impostazioni predefinite"
"THEME","Tema"
"RESOLUTION","Risoluzione"
"VERSION","Versione"
"DELETE","Cancella"
"TEAM","Squadra"
"TABLE_PLACEMENT","Posto in classifica"
"LAST_SAVE","Ultimo salvataggio"
"CREATED","Creato"
"GAME_DATE","Data nel gioco"
"STAR","Stella"
"SUBJECT","Oggetto"
"FROM","Da"
"TO","A"
"DATE","Data"
"UNREAD","Da leggere"
"STARRED","Favoriti"
"SEARCH","Cerca"
"INFO","Info"
"PLAYERS","Giocatori"
"PLAYER","Giocatore"
"SEED","Seed"
"START_DATE","Data inizio"
"COPY","Copia"
"MONDAY","Lunedi"
"TUESDAY","Martedi"
"WEDNESDAY","Mercoledi"
"THURSDAY","Giovedi"
"FRIDAY","Venerdi"
"SATURDAY","Sabato"
"SUNDAY","Domenica"
"MON","Lun"
"TUE","Mar"
"WED","Mer"
"THU","Gio"
"FRI","Ven"
"SAT","Sab"
"SUN","Dom"
"JANUARY","Gennaio"
"FEBRUARY","Febbraio"
"MARCH","Marzo"
"APRIL","Aprile"
"MAY","Maggio"
"JUNE","Giugno"
"JULY","Luglio"
"AUGUST","Agosto"
"SEPTEMBER","Settembre"
"OCTOBER","Ottobre"
"NOVEMBER","Novembre"
"DECEMBER","Dicembre"
"JAN","Gen"
"FEB","Feb"
"MAR","Mar"
"APR","Apr"
"JUN","Giu"
"JUL","Lug"
"AUG","Ago"
"SEP","Set"
"OCT","Ott"
"NOV","Nov"
"DEC","Dic"
