"source","target"
"CREATE_MANAGER","Criar Treinador"
"MANAGER","Treinador"
"NAME","Nome"
"SURNAME","Sobrenome"
"YOUR_NAME","O teu nome"
"YOUR_SURNAME","O teu sobrenome"
"PLAYER_NAMES","Nomes dos jogadores"
"BIRTH_DATE","Data de nascimento"
"START_YEAR","Ano de início"
"FAV_TEAM","Equipa Favorita"
"NATIONALITY","Nacionalidade"
"BACK","Retroceder"
"CONTINUE","Continuar"
"CANCEL","Cancelar"
"FIELD","Campo"
"STATS","Estatísticas"
"POSSESSION","Posse de bola"
"SHOTS","Remates"
"SHOTS_ON_TARGET","Remates à baliza"
"FOULS","Faltas"
"FREE_KICKS","Livres"
"PAUSE","Pausa"
"PENALTIES","Penáltis"
"PENALTIES_10M","Livres de 10 metros"
"TACKLES","Desarmes"
"TACKLES_SUCCESS","Desarmes bem sucedidos"
"PASSES","Passes"
"PASSES_SUCCESS","Passes bem sucedidos"
"KICK_INS","Reposições"
"CORNERS","Cantos"
"YELLOW_CARDS","Cartões Amarelos"
"RED_CARDS","Cartões Vermelhos"
"SIMULATE","Simular"
"EVENTS","Eventos"
"TACTICS","Tácticas"
"FORMATION","Formação"
"COMMENTARY","Comentário"
"CHANGE_STRATEGY","Mudar estratégia"
"AUTO","Automático"
"MANUAL","Manual"
"START","Iniciar"
"CALENDAR","Calendário"
"TABLE","Tabela"
"EMAIL","E-Mail"
"SEARCH_PLAYER","Procurar jogador"
"MENU","Menu"
"SETTINGS","Definições"
"START_MATCH","Iniciar partida"
"NEXT_DAY","Próximo dia"
"NEXT_MATCH","Próximo jogo"
"WELCOME","Bem-vindo"
"MALE","Masculino"
"FEMALE","Feminino"
"MIXED","Misturado"
"WORLD","Mundo"
"CONTINENTS","Continentes"
"ITALY","Itália"
"SPAIN","Espanha"
"ROMANIA","Roménia"
"NEW_GAME","Novo jogo"
"LOAD_GAME","Carregar jogo"
"DARK","Escuro"
"LIGHT","Claro"
"SOLARIZED_LIGHT","Claro ensolarado"
"SOLARIZED_DARK","Escuro ensolarado"
"HACKER","Hacker"
"RED","Vermelho"
"CUSTOM","Personalizar"
"DEFAULT_SETTINGS","Definições padrão"
"THEME","Tema"
"RESOLUTION","Resolução"
"VERSION","Versão"
"DELETE","Eliminar"
"TEAM","Equipa"
"TABLE_PLACEMENT","Posição na tabela"
"LAST_SAVE","Última gravação"
"CREATED","Criado"
"GAME_DATE","Data no jogo"
"STAR","Estrela"
"SUBJECT","Sujeito"
"FROM","De"
"TO","Para"
"DATE","Data"
"UNREAD","Não lido"
"STARRED","Marcado"
"SEARCH","Procurar"
"INFO","Informação"
"PLAYERS","Jogadores"
"PLAYER","Jogador"
"SEED","Sorteio"
"START_DATE","Data inicial"
"COPY","Copiar"
"MONDAY","Segunda-feira"
"TUESDAY","terça-feira"
"WEDNESDAY","Quarta-feira"
"THURSDAY","Quinta-feira"
"FRIDAY","Sexta-feira"
"SATURDAY","Sábado"
"SUNDAY","Domingo"
"MON","Seg"
"TUE","Ter"
"WED","Qua"
"THU","Qui"
"FRI","Sex"
"SAT","Sáb"
"SUN","Dom"
"JANUARY","Janeiro"
"FEBRUARY","Fevereiro"
"MARCH","Março"
"APRIL","Abril"
"MAY","Maio"
"JUNE","Junho"
"JULY","Julho"
"AUGUST","Agosto"
"SEPTEMBER","Setembro"
"OCTOBER","Outubro"
"NOVEMBER","Novembro"
"DECEMBER","Dezembro"
"JAN","Jan"
"FEB","Fev"
"MAR","Mar"
"APR","Abr"
"JUN","Jun"
"JUL","Jul"
"AUG","Ago"
"SEP","Set"
"OCT","Out"
"NOV","Nov"
"DEC","Dez"
"GENERATION_SEED","Criação de Sorteio"
"GENERATION_SEED_DESCRIPTION","Descrição de criação de sorteio"
"PLAYED","Jogado"
"WIN","Vitória"
"DRAW","Empate"
"LOST","Derrota"
"GOALS","Golos marcados"
"GOALS_CONCEDED","Golos sofridos"
"POINTS","Pontos"
"TACTIC_OFFENSE","Sistema ofensivo"
"TACTIC_DEFENSE","Método defensivo"
"INTENSITY","Intensidade"
"MARKING","Marcação"
"PRESSING","Pressão"
"CUT_INSIDE","Cortar para dentro"
"ROTATION","Rotação"
"ZONE","Zona"
"FULL_COURT","Campo inteiro"
"HALF_COURT","Meio-campo"
"NO_PRESS","Sem pressão"
"SUBS","Substituições"
"REST","Descansar"
"ALL_POS","Todas as posições"
"G","GR"
"DL","DE"
"DR","DD"
"DC","DC"
"C","C"
"WL","AE"
"WR","AD"
"PL","PE"
"PR","PR"
"PC","PC"
"ALL_LEAGUES","Todas as ligas"
"ALL_TEAMS","Todas as equipas"
"LOADING_GAME","A carregar o teu jogo…"
